no,topic,description,example
930,Quantitative Analysis of Nitrate using HPLC,"Quantitative Analysis of Nitrate using HPLC: definition, key principles, and typical applications.",Example: HPLC separates caffeine (tR=3.4 min) from acetaminophen (tR=5.1 min); UV at 273 nm.
931,Quantitative Analysis of Nitrate using UV–Vis,"Quantitative Analysis of Nitrate using UV–Vis: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
932,Quantitative Analysis of Nitrate using GC,"Quantitative Analysis of Nitrate using GC: definition, key principles, and typical applications.",Example: HPLC separates caffeine (tR=3.4 min) from acetaminophen (tR=5.1 min); UV at 273 nm.
933,Quantitative Analysis of Nitrate using Titration,"Quantitative Analysis of Nitrate using Titration: definition, key principles, and typical applications.",Example: 25.00 mL 0.100 M HCl titrated with 0.100 M NaOH → equivalence at 25.00 mL; pH=7.
934,Quantitative Analysis of Phosphate using HPLC,"Quantitative Analysis of Phosphate using HPLC: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
935,Quantitative Analysis of Phosphate using UV–Vis,"Quantitative Analysis of Phosphate using UV–Vis: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
936,Quantitative Analysis of Phosphate using GC,"Quantitative Analysis of Phosphate using GC: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
937,Quantitative Analysis of Phosphate using Titration,"Quantitative Analysis of Phosphate using Titration: definition, key principles, and typical applications.",Example: 25.00 mL 0.100 M HCl titrated with 0.100 M NaOH → equivalence at 25.00 mL; pH=7.
938,Quantitative Analysis of Sulfate using HPLC,"Quantitative Analysis of Sulfate using HPLC: definition, key principles, and typical applications.",Example: HPLC separates caffeine (tR=3.4 min) from acetaminophen (tR=5.1 min); UV at 273 nm.
939,Quantitative Analysis of Sulfate using UV–Vis,"Quantitative Analysis of Sulfate using UV–Vis: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
940,Quantitative Analysis of Sulfate using GC,"Quantitative Analysis of Sulfate using GC: definition, key principles, and typical applications.",Example: HPLC separates caffeine (tR=3.4 min) from acetaminophen (tR=5.1 min); UV at 273 nm.
941,Quantitative Analysis of Sulfate using Titration,"Quantitative Analysis of Sulfate using Titration: definition, key principles, and typical applications.",Example: 25.00 mL 0.100 M HCl titrated with 0.100 M NaOH → equivalence at 25.00 mL; pH=7.
942,Environmental Removal of Pb²⁺ via adsorption on activated carbon,"Environmental Removal of Pb²⁺ via adsorption on activated carbon: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
943,Environmental Removal of Pb²⁺ via ion exchange resin,"Environmental Removal of Pb²⁺ via ion exchange resin: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
944,Environmental Removal of Pb²⁺ via precipitation as hydroxide,"Environmental Removal of Pb²⁺ via precipitation as hydroxide: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
945,Environmental Removal of Pb²⁺ via Fenton oxidation,"Environmental Removal of Pb²⁺ via Fenton oxidation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
946,Environmental Removal of Pb²⁺ via photocatalysis (TiO₂),"Environmental Removal of Pb²⁺ via photocatalysis (TiO₂): definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
947,Environmental Removal of Pb²⁺ via air stripping,"Environmental Removal of Pb²⁺ via air stripping: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
948,Environmental Removal of Pb²⁺ via bio‑remediation,"Environmental Removal of Pb²⁺ via bio‑remediation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
949,Environmental Removal of Cr(VI) via adsorption on activated carbon,"Environmental Removal of Cr(VI) via adsorption on activated carbon: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
950,Environmental Removal of Cr(VI) via ion exchange resin,"Environmental Removal of Cr(VI) via ion exchange resin: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
951,Environmental Removal of Cr(VI) via precipitation as hydroxide,"Environmental Removal of Cr(VI) via precipitation as hydroxide: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
952,Environmental Removal of Cr(VI) via Fenton oxidation,"Environmental Removal of Cr(VI) via Fenton oxidation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
953,Environmental Removal of Cr(VI) via photocatalysis (TiO₂),"Environmental Removal of Cr(VI) via photocatalysis (TiO₂): definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
954,Environmental Removal of Cr(VI) via air stripping,"Environmental Removal of Cr(VI) via air stripping: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
955,Environmental Removal of Cr(VI) via bio‑remediation,"Environmental Removal of Cr(VI) via bio‑remediation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
956,Environmental Removal of As(III) via adsorption on activated carbon,"Environmental Removal of As(III) via adsorption on activated carbon: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
957,Environmental Removal of As(III) via ion exchange resin,"Environmental Removal of As(III) via ion exchange resin: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
958,Environmental Removal of As(III) via precipitation as hydroxide,"Environmental Removal of As(III) via precipitation as hydroxide: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
959,Environmental Removal of As(III) via Fenton oxidation,"Environmental Removal of As(III) via Fenton oxidation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
960,Environmental Removal of As(III) via photocatalysis (TiO₂),"Environmental Removal of As(III) via photocatalysis (TiO₂): definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
961,Environmental Removal of As(III) via air stripping,"Environmental Removal of As(III) via air stripping: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
962,Environmental Removal of As(III) via bio‑remediation,"Environmental Removal of As(III) via bio‑remediation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
963,Environmental Removal of Nitrate via adsorption on activated carbon,"Environmental Removal of Nitrate via adsorption on activated carbon: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
964,Environmental Removal of Nitrate via ion exchange resin,"Environmental Removal of Nitrate via ion exchange resin: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
965,Environmental Removal of Nitrate via precipitation as hydroxide,"Environmental Removal of Nitrate via precipitation as hydroxide: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
966,Environmental Removal of Nitrate via Fenton oxidation,"Environmental Removal of Nitrate via Fenton oxidation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
967,Environmental Removal of Nitrate via photocatalysis (TiO₂),"Environmental Removal of Nitrate via photocatalysis (TiO₂): definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
968,Environmental Removal of Nitrate via air stripping,"Environmental Removal of Nitrate via air stripping: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
969,Environmental Removal of Nitrate via bio‑remediation,"Environmental Removal of Nitrate via bio‑remediation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
970,Environmental Removal of Phosphate via adsorption on activated carbon,"Environmental Removal of Phosphate via adsorption on activated carbon: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
971,Environmental Removal of Phosphate via ion exchange resin,"Environmental Removal of Phosphate via ion exchange resin: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
972,Environmental Removal of Phosphate via precipitation as hydroxide,"Environmental Removal of Phosphate via precipitation as hydroxide: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
973,Environmental Removal of Phosphate via Fenton oxidation,"Environmental Removal of Phosphate via Fenton oxidation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
974,Environmental Removal of Phosphate via photocatalysis (TiO₂),"Environmental Removal of Phosphate via photocatalysis (TiO₂): definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
975,Environmental Removal of Phosphate via air stripping,"Environmental Removal of Phosphate via air stripping: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
976,Environmental Removal of Phosphate via bio‑remediation,"Environmental Removal of Phosphate via bio‑remediation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
977,Environmental Removal of Phenol via adsorption on activated carbon,"Environmental Removal of Phenol via adsorption on activated carbon: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
978,Environmental Removal of Phenol via ion exchange resin,"Environmental Removal of Phenol via ion exchange resin: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
979,Environmental Removal of Phenol via precipitation as hydroxide,"Environmental Removal of Phenol via precipitation as hydroxide: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
980,Environmental Removal of Phenol via Fenton oxidation,"Environmental Removal of Phenol via Fenton oxidation: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
981,Environmental Removal of Phenol via photocatalysis (TiO₂),"Environmental Removal of Phenol via photocatalysis (TiO₂): definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
982,Environmental Removal of Phenol via air stripping,"Environmental Removal of Phenol via air stripping: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
