no,topic,description,example
923,Kepler Problem with Periodic Boundary Conditions,"Kepler Problem with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
924,Kepler Problem with Mixed Boundary Conditions,"Kepler Problem with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
925,Kepler Problem with Radiation Boundary,"Kepler Problem with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
926,Kepler Problem with Perfect Conductor Boundary,"Kepler Problem with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
927,Nonlinear Pendulum in Spherical Shell,"Nonlinear Pendulum in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
928,Nonlinear Pendulum in Infinite Plane,"Nonlinear Pendulum in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
929,Nonlinear Pendulum in Long Solenoid,"Nonlinear Pendulum in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
930,Nonlinear Pendulum in Toroid,"Nonlinear Pendulum in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
931,Nonlinear Pendulum in Coaxial Cable,"Nonlinear Pendulum in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
932,Nonlinear Pendulum in Parallel Plate,"Nonlinear Pendulum in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
933,Nonlinear Pendulum in Cylindrical Cavity,"Nonlinear Pendulum in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
934,Nonlinear Pendulum in Rectangular Waveguide,"Nonlinear Pendulum in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
935,Nonlinear Pendulum in Fabry–Pérot Cavity,"Nonlinear Pendulum in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
936,Nonlinear Pendulum in Spherical Cavity,"Nonlinear Pendulum in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
937,Nonlinear Pendulum in Cylindrical Shell,"Nonlinear Pendulum in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
938,Nonlinear Pendulum in Spherical Capacitor,"Nonlinear Pendulum in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
939,Nonlinear Pendulum in Coil Pair (Helmholtz),"Nonlinear Pendulum in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
940,Nonlinear Pendulum in Dipole Field,"Nonlinear Pendulum in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
941,Nonlinear Pendulum in Quadrupole Field,"Nonlinear Pendulum in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
942,Nonlinear Pendulum in Vacuum,"Nonlinear Pendulum in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
943,Nonlinear Pendulum in Dielectric Medium,"Nonlinear Pendulum in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
944,Nonlinear Pendulum in Conducting Medium,"Nonlinear Pendulum in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
945,Nonlinear Pendulum in Anisotropic Medium,"Nonlinear Pendulum in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
946,Nonlinear Pendulum in Superconductor,"Nonlinear Pendulum in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
947,Nonlinear Pendulum in Plasma,"Nonlinear Pendulum in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
948,Nonlinear Pendulum in Semiconductor,"Nonlinear Pendulum in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
949,Nonlinear Pendulum in Ferromagnetic Material,"Nonlinear Pendulum in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
950,Nonlinear Pendulum in Paramagnetic Material,"Nonlinear Pendulum in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
951,Nonlinear Pendulum in Diamagnetic Material,"Nonlinear Pendulum in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
952,Nonlinear Pendulum in Metamaterial,"Nonlinear Pendulum in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
953,Nonlinear Pendulum with Dirichlet Boundary Conditions,"Nonlinear Pendulum with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
954,Nonlinear Pendulum with Neumann Boundary Conditions,"Nonlinear Pendulum with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
955,Nonlinear Pendulum with Periodic Boundary Conditions,"Nonlinear Pendulum with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
956,Nonlinear Pendulum with Mixed Boundary Conditions,"Nonlinear Pendulum with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
957,Nonlinear Pendulum with Radiation Boundary,"Nonlinear Pendulum with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
958,Nonlinear Pendulum with Perfect Conductor Boundary,"Nonlinear Pendulum with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
959,Rigid Body Euler Equations in Spherical Shell,"Rigid Body Euler Equations in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
960,Rigid Body Euler Equations in Infinite Plane,"Rigid Body Euler Equations in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
961,Rigid Body Euler Equations in Long Solenoid,"Rigid Body Euler Equations in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
962,Rigid Body Euler Equations in Toroid,"Rigid Body Euler Equations in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
963,Rigid Body Euler Equations in Coaxial Cable,"Rigid Body Euler Equations in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
964,Rigid Body Euler Equations in Parallel Plate,"Rigid Body Euler Equations in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
965,Rigid Body Euler Equations in Cylindrical Cavity,"Rigid Body Euler Equations in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
966,Rigid Body Euler Equations in Rectangular Waveguide,"Rigid Body Euler Equations in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
967,Rigid Body Euler Equations in Fabry–Pérot Cavity,"Rigid Body Euler Equations in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
968,Rigid Body Euler Equations in Spherical Cavity,"Rigid Body Euler Equations in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
969,Rigid Body Euler Equations in Cylindrical Shell,"Rigid Body Euler Equations in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
970,Rigid Body Euler Equations in Spherical Capacitor,"Rigid Body Euler Equations in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
